dateTime,value__bpm,value__confidence
11/02/23 11:11:44,70,3
11/02/23 11:11:59,71,3
11/02/23 11:12:14,70,3
11/02/23 11:12:35,73,2
11/02/23 11:12:40,80,3
11/02/23 11:12:50,75,3
11/02/23 11:12:55,70,3
11/02/23 11:13:05,72,3
11/02/23 11:13:10,70,3
11/02/23 11:13:15,67,3
11/02/23 11:13:30,68,3
11/02/23 11:13:45,68,3
11/02/23 11:13:55,67,3
11/02/23 11:14:10,67,3
11/02/23 11:14:15,68,3
11/02/23 11:14:20,67,3
11/02/23 11:14:25,66,3
11/02/23 11:14:40,67,3
11/02/23 11:14:55,67,3
11/02/23 11:15:00,65,2
11/02/23 11:15:05,65,3
11/02/23 11:15:10,65,2
11/02/23 11:15:15,66,2
11/02/23 11:15:25,67,2
11/02/23 11:15:35,72,3
11/02/23 11:15:40,71,3
11/02/23 11:15:45,68,3
11/02/23 11:15:50,66,3
11/02/23 11:16:05,65,3
11/02/23 11:16:15,66,3
11/02/23 11:16:21,65,3
11/02/23 11:16:36,65,3
11/02/23 11:16:41,64,3
11/02/23 11:16:56,64,3
11/02/23 11:17:06,65,3
11/02/23 11:17:16,66,3
11/02/23 11:17:26,65,3
11/02/23 11:17:36,66,3
11/02/23 11:17:41,66,2
11/02/23 11:17:46,64,3
11/02/23 11:18:01,64,3
11/02/23 11:18:06,65,3
11/02/23 11:18:11,66,3
11/02/23 11:18:21,67,3
11/02/23 11:18:36,67,3
11/02/23 11:18:41,66,3
11/02/23 11:18:56,66,3
11/02/23 11:19:11,64,3
11/02/23 11:19:26,65,3
11/02/23 11:19:31,66,3
11/02/23 11:19:36,67,3
11/02/23 11:19:46,68,3
11/02/23 11:20:01,69,3
11/02/23 11:20:06,69,2
11/02/23 11:20:11,68,2
11/02/23 11:20:16,65,3
11/02/23 11:20:21,64,3
11/02/23 11:20:26,64,3
11/02/23 11:20:31,65,3
11/02/23 11:20:46,65,3
11/02/23 11:20:51,66,3
11/02/23 11:21:01,67,3
11/02/23 11:21:06,68,3
11/02/23 11:21:11,69,3
11/02/23 11:21:16,70,3
11/02/23 11:21:21,69,3
11/02/23 11:21:26,68,3
11/02/23 11:21:41,68,3
11/02/23 11:21:46,67,3
11/02/23 11:22:01,67,3
11/02/23 11:22:06,68,3
11/02/23 11:22:16,67,3
11/02/23 11:22:21,66,3
11/02/23 11:22:31,67,3
11/02/23 11:22:41,68,3
11/02/23 11:22:46,67,3
11/02/23 11:22:56,66,3
11/02/23 11:23:11,66,3
11/02/23 11:23:16,67,3
11/02/23 11:23:21,69,3
11/02/23 11:23:36,69,3
11/02/23 11:23:41,66,3
11/02/23 11:23:46,65,3
11/02/23 11:23:52,65,3
11/02/23 11:24:02,66,3
11/02/23 11:24:12,67,3
11/02/23 11:24:27,67,3
11/02/23 11:24:32,68,3
11/02/23 11:24:37,69,3
11/02/23 11:24:42,69,2
11/02/23 11:24:57,69,2
11/02/23 11:25:02,71,2
11/02/23 11:25:07,72,2
11/02/23 11:25:12,75,3
11/02/23 11:25:22,71,3
11/02/23 11:25:27,68,3
11/02/23 11:25:32,67,2
11/02/23 11:25:42,68,2
11/02/23 11:25:52,68,3
11/02/23 11:25:57,69,2
11/02/23 11:26:12,75,2
11/02/23 11:26:17,85,3
11/02/23 11:26:27,76,3
11/02/23 11:26:32,72,2
11/02/23 11:26:37,70,2
11/02/23 11:26:42,69,3
11/02/23 11:26:57,69,3
11/02/23 11:27:07,68,3
11/02/23 11:27:12,67,3
11/02/23 11:27:22,68,3
11/02/23 11:27:27,67,3
11/02/23 11:27:32,66,3
11/02/23 11:27:47,66,3
11/02/23 11:28:02,67,3
11/02/23 11:28:12,67,2
11/02/23 11:28:22,67,3
11/02/23 11:28:27,66,3
11/02/23 11:28:37,67,3
11/02/23 11:28:42,66,3
11/02/23 11:28:47,65,3
11/02/23 11:29:02,66,3
11/02/23 11:29:07,67,2
11/02/23 11:29:17,63,3
11/02/23 11:29:22,62,3
11/02/23 11:29:27,63,3
11/02/23 11:29:32,64,3
11/02/23 11:29:37,66,3
11/02/23 11:29:42,68,3
11/02/23 11:29:57,68,3
11/02/23 11:30:07,69,3
11/02/23 11:30:12,68,3
11/02/23 11:30:17,67,3
11/02/23 11:30:32,67,3
11/02/23 11:30:47,66,3
11/02/23 11:30:48,67,3
11/02/23 11:31:03,68,3
11/02/23 11:31:08,67,3
11/02/23 11:31:18,68,3
11/02/23 11:31:23,67,3
11/02/23 11:31:38,66,3
11/02/23 11:31:43,67,3
11/02/23 11:31:48,68,3
11/02/23 11:31:53,69,3
11/02/23 11:32:03,70,3
11/02/23 11:32:08,68,3
11/02/23 11:32:23,68,3
11/02/23 11:32:33,69,3
11/02/23 11:32:48,69,3
11/02/23 11:32:58,68,3
11/02/23 11:33:03,66,3
11/02/23 11:33:08,65,3
11/02/23 11:33:18,66,3
11/02/23 11:33:23,67,3
11/02/23 11:33:38,68,3
11/02/23 11:33:43,69,3
11/02/23 11:33:48,71,3
11/02/23 11:33:53,69,3
11/02/23 11:33:58,67,3
11/02/23 11:34:13,66,3
11/02/23 11:34:18,65,3
11/02/23 11:34:28,66,3
11/02/23 11:34:33,66,3
11/02/23 11:34:38,66,2
11/02/23 11:34:53,66,2
11/02/23 11:34:58,69,2
11/02/23 11:35:03,73,2
11/02/23 11:35:08,72,3
11/02/23 11:35:13,68,3
11/02/23 11:35:18,67,3
11/02/23 11:35:23,70,3
11/02/23 11:35:28,74,3
11/02/23 11:35:38,72,3
11/02/23 11:35:43,71,3
11/02/23 11:35:48,69,3
11/02/23 11:35:58,68,3
11/02/23 11:36:03,69,3
11/02/23 11:36:08,70,3
11/02/23 11:36:18,69,3
11/02/23 11:36:23,68,3
11/02/23 11:36:28,67,3
11/02/23 11:36:33,66,3
11/02/23 11:36:38,65,3
11/02/23 11:36:43,64,3
11/02/23 11:36:48,63,3
11/02/23 11:36:53,64,3
11/02/23 11:36:58,65,3
11/02/23 11:37:03,64,3
11/02/23 11:37:18,64,3
11/02/23 11:37:19,65,3
11/02/23 11:37:24,66,3
11/02/23 11:37:34,65,3
11/02/23 11:37:49,66,3
